]633;E;{ head -n1 "$OUT"\x3b tail -n +2 "$OUT" | LC_ALL=C sort -u\x3b } > .tmp && mv .tmp "$OUT";3144bff2-d5ee-477d-95d4-68949f379621]633;Clema,pos,fuente,localizacion
ABS,NombresMasculinos,RAE,es_ES
ADSL,NombresMasculinos,RAE,es_ES
COVID,NombresMasculinosFemeninos,RAE,es_ES
Celsius,NombresCompuestos,RAE,es_ES
DNI,NombresMasculinos,RAE,es_ES
GPS,NombresMasculinos,RAE,es_ES
Gloriosa,NombresFemeninos,RAE,es_ES
ISSN,NombresMasculinos,RAE,es_ES
Inmaculada,NombresFemeninos,RAE,es_ES
LSD,NombresMasculinos,RAE,es_ES
Nochevieja,NombresFemeninos,RAE,es_ES
ONG,NombresFemeninos,RAE,es_ES
SMS,NombresMasculinos,RAE,es_ES
USB,NombresMasculinos,RAE,es_ES
a,NombresFemeninos,RAE,es_ES
a,Preposiciones,RAE,es_ES
ababa,NombresFemeninos,RAE,es_ES
ababol,NombresMasculinos,RAE,es_ES
abacero,NombresMasculinosFemeninos,RAE,es_ES
abacería,NombresFemeninos,RAE,es_ES
abacial,Adjetivos,RAE,es_ES
abacá,NombresMasculinos,RAE,es_ES
abad,NombresMasculinos,RAE,es_ES
abada,NombresFemeninos,RAE,es_ES
abadejo,NombresMasculinos,RAE,es_ES
abadengo,Adjetivos,RAE,es_ES
abadengo,NombresMasculinos,RAE,es_ES
abadernar,VerbosTransitivos,RAE,es_ES
abadesa,NombresFemeninos,RAE,es_ES
abadiato,NombresMasculinos,RAE,es_ES
abadí,Adjetivos,RAE,es_ES
abadí,NombresComunes,RAE,es_ES
abadía,NombresFemeninos,RAE,es_ES
abajadero,NombresMasculinos,RAE,es_ES
abajamiento,NombresMasculinos,RAE,es_ES
abajar,VerbosTransitivosIntransitivos,RAE,es_ES
abajeño,Adjetivos,RAE,es_ES
abajeño,NombresMasculinosFemeninos,RAE,es_ES
abajo,Adverbios,RAE,es_ES
abakuá,NombresMasculinos,RAE,es_ES
abalanzar,VerbosTransitivosPronominales,RAE,es_ES
abalar,VerbosTransitivos,RAE,es_ES
